destination,experiment,role,required,status,source,note
figures\representative_divergence_trace.png,Physical-virtual trace,SUPPORTING,False,copied,magnet_tfp\results\figures\representative_divergence_trace.png,Representative synchronized physical-virtual divergence trace.
figures\supplement\condition_rmse_boxplot.png,secondary/context,SUPPLEMENT,False,copied,magnet_tfp\results\figures\condition_rmse_boxplot.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\advisor_fig2_v1_v2_progress.png,secondary/context,SUPPLEMENT,False,copied,results\advisor_clean_results_brief\figures\advisor_fig2_v1_v2_progress.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\fig3_condition_turning.png,secondary/context,SUPPLEMENT,False,copied,results\advisor_results_review\figures\fig3_condition_turning.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\fig4_benign_envelope_by_condition.png,secondary/context,SUPPLEMENT,False,copied,results\advisor_results_review\figures\fig4_benign_envelope_by_condition.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\fig5_loso_envelope_coverage.png,secondary/context,SUPPLEMENT,False,copied,results\advisor_results_review\figures\fig5_loso_envelope_coverage.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\condition_specific_envelope_width.png,secondary/context,SUPPLEMENT,False,copied,results\conditioned_envelope_validation\condition_specific_envelope_width.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\within_condition_calibration.png,secondary/context,SUPPLEMENT,False,copied,results\conditioned_envelope_validation\within_condition_calibration.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\FreeTwinEV_1S4P_contract_surface.png,secondary/context,SUPPLEMENT,False,copied,results\cross_domain_contract_generalization\figures\FreeTwinEV_1S4P_contract_surface.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\MAGNET_contract_surface.png,secondary/context,SUPPLEMENT,False,copied,results\cross_domain_contract_generalization\figures\MAGNET_contract_surface.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\TUWien_SNG_contract_surface.png,secondary/context,SUPPLEMENT,False,copied,results\cross_domain_contract_generalization\figures\TUWien_SNG_contract_surface.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\e2_terrasentia_contract_transfer.png,secondary/context,SUPPLEMENT,False,copied,results\e1_e2_service_contract_publication\E2_terrasentia\e2_terrasentia_contract_transfer.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\figure_benign_envelope_by_condition.png,secondary/context,SUPPLEMENT,False,copied,results\final_audit\publication_ready\figure_benign_envelope_by_condition.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\figure_condition_dependent_fidelity_turning.png,secondary/context,SUPPLEMENT,False,copied,results\final_audit\publication_ready\figure_condition_dependent_fidelity_turning.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\figure_loso_envelope_coverage.png,secondary/context,SUPPLEMENT,False,copied,results\final_audit\publication_ready\figure_loso_envelope_coverage.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_official_benchmark\sources\i2Nav-Robot\resources\scene\parking00.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_official_benchmark\sources\i2Nav-Robot\resources\scene\parking01.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_official_benchmark\sources\i2Nav-Robot\resources\scene\parking02.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00_integrated_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking00_integrated_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00_lateral_velocity.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking00_lateral_velocity.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00_slip_angle.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking00_slip_angle.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00_velocity_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking00_velocity_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking00_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking00_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_integrated_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking01_integrated_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_lateral_velocity.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking01_lateral_velocity.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_slip_angle.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking01_slip_angle.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_velocity_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking01_velocity_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking01_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_integrated_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_integrated_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_lateral_velocity.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_lateral_velocity.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_slip_angle.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_slip_angle.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_velocity_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_velocity_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_vs_all_30s_yaw_bias.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_vs_all_30s_yaw_bias.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_yaw_residual.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_physical_residuals\plots\parking02_yaw_residual.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\delay_sensitivity.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_timing_sensitivity\delay_sensitivity.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\jitter_sensitivity.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_timing_sensitivity\jitter_sensitivity.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_01_base42_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_01_base42_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_01_base42_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_01_base42_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_01_base42_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_01_base42_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_02_base1042_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_02_base1042_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_02_base1042_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_02_base1042_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_02_base1042_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_02_base1042_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_03_base2042_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_03_base2042_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_03_base2042_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_03_base2042_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking01_replicate_03_base2042_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking01_replicate_03_base2042_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_01_base42_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_01_base42_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_01_base42_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_01_base42_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_01_base42_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_01_base42_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_02_base1042_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_02_base1042_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_02_base1042_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_02_base1042_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_02_base1042_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_02_base1042_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_03_base2042_bias_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_03_base2042_bias_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_03_base2042_explicit_vs_true_30s.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_03_base2042_explicit_vs_true_30s.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_replicate_03_base2042_integrated_remaining_yaw.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_bias_diagnostic\plots\parking02_replicate_03_base2042_integrated_remaining_yaw.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\benign_envelope_by_condition.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\benign_fidelity_characterization\benign_envelope_by_condition.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\unconditional_vs_conditioned_envelope.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\benign_fidelity_characterization\unconditional_vs_conditioned_envelope.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\loso_conditioned_vs_unconditional_coverage.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\loso_envelope_validation\loso_conditioned_vs_unconditional_coverage.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\loso_envelope_influence_by_sequence.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\loso_envelope_validation\loso_envelope_influence_by_sequence.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_vs_parking00_mechanism.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\parking02_vs_parking00\parking02_vs_parking00_mechanism.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_vs_parking00_metrics.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\parking02_vs_parking00\parking02_vs_parking00_metrics.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_vs_parking00_short_horizon_rpe.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\parking02_vs_parking00\parking02_vs_parking00_short_horizon_rpe.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\parking02_vs_parking00_trajectory.png,secondary/context,SUPPLEMENT,False,copied,results\i2nav_v2_post_loso_analysis\parking02_vs_parking00\parking02_vs_parking00_trajectory.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\v1_v2_local_vs_global_clean.png,secondary/context,SUPPLEMENT,False,copied,results\publication_hardening\figures\v1_v2_local_vs_global_clean.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
figures\supplement\ugv01_existing_apriltag_condition_comparison.png,secondary/context,SUPPLEMENT,False,copied,results\ugv01_asset_instantiation\ugv01_existing_apriltag_condition_comparison.png,Automatically collected context/diagnostic figure; inspect before manuscript use.
